city,count($)
İstanbul,15666
Tekirdağ,14787
Edirne,7613
Kırklareli,10772
Balıkesir,8051
Çanakkale,9959
İzmir,11668
Aydın,6444
Denizli,8663
Muğla,9341
Manisa,9378
Afyonkarahisar,6161
Kütahya,7451
Uşak,8297
Bursa,10765
Eskişehir,10158
Bilecik,11713
Kocaeli,17089
Sakarya,8653
Düzce,8539
Bolu,10266
Yalova,11510
Ankara,13020
Konya,7341
Karaman,7849
Antalya,8983
Isparta,6870
Burdur,7422
Adana,6977
Mersin,8278
Hatay,6785
Kahramanmaraş,5997
Osmaniye,6256
Kırıkkale,7493
Aksaray,7219
Niğde,6014
Nevşehir,5743
Kırşehir,6396
Kayseri,8373
Sivas,6316
Yozgat,4869
Zonguldak,7926
Karabük,7735
Bartın,5937
Kastamonu,7564
Çankırı,7962
Sinop,5119
Samsun,6110
Tokat,4526
Çorum,5430
Amasya,5875
Trabzon,6014
Ordu,4841
Giresun,5260
Rize,6522
Artvin,10051
Gümüşhane,5295
Erzurum,5171
Erzincan,9449
Bayburt,5150
Ağrı,2988
Kars,4611
Iğdır,5405
Ardahan,5789
Malatya,5355
Elazığ,6272
Bingöl,4771
Tunceli,8129
Van,3094
Muş,3895
Bitlis,3881
Hakkari,4945
Gaziantep,7819
Adıyaman,4092
Kilis,5406
Şanlıurfa,3012
Diyarbakır,3893
Mardin,5516
Batman,4073
Şırnak,5014
Siirt,4421
