city,gdp
İstanbul,15 666
Tekirdağ,14 787
Edirne,7 613
Kırklareli,10 772
Balıkesir,8 051
Çanakkale,9 959
İzmir,11 668
Aydın,6 444
Denizli,8 663
Muğla,9 341
Manisa,9 378
Afyonkarahisar,6 161
Kütahya,7 451
Uşak,8 297
Bursa,10 765
Eskişehir,10 158
Bilecik,11 713
Kocaeli,17 089
Sakarya,8 653
Düzce,8 539
Bolu,10 266
Yalova,11 510
Ankara,13 020
Konya,7 341
Karaman,7 849
Antalya,8 983
Isparta,6 870
Burdur,7 422
Adana,6 977
Mersin,8 278
Hatay,6 785
Kahramanmaraş,5 997
Osmaniye,6 256
Kırıkkale,7 493
Aksaray,7 219
Niğde,6 014
Nevşehir,5 743
Kırşehir,6 396
Kayseri,8 373
Sivas,6 316
Yozgat,4 869
Zonguldak,7 926
Karabük,7 735
Bartın,5 937
Kastamonu,7 564
Çankırı,7 962
Sinop,5 119
Samsun,6 110
Tokat,4 526
Çorum,5 430
Amasya,5 875
Trabzon,6 014
Ordu,4 841
Giresun,5 260
Rize,6 522
Artvin,10 051
Gümüşhane,5 295
Erzurum,5 171
Erzincan,9 449
Bayburt,5 150
Ağrı,2 988
Kars,4 611
Iğdır,5 405
Ardahan,5 789
Malatya,5 355
Elazığ,6 272
Bingöl,4 771
Tunceli,8 129
Van,3 094
Muş,3 895
Bitlis,3 881
Hakkari,4 945
Gaziantep,7 819
Adıyaman,4 092
Kilis,5 406
Şanlıurfa,3 012
Diyarbakır,3 893
Mardin,5 516
Batman,4 073
Şırnak,5 014
Siirt,4 421
