City,Count
İstanbul,283
Ankara,77
İzmi̇r,54
Bursa,31
Antalya,29
Adana,18
Muğla,17
İzmi̇t,14
Balikesi̇r,10
Eski̇şehi̇r,10
Mersi̇n,10
Aydin,9
Gazi̇antep,7
Konya,7
Çanakkale,5
Di̇yarbakir,5
Kayseri̇,5
Sakarya,5
Teki̇rdağ,5
Afyon,4
Deni̇zli̇,4
Hatay,4
Mani̇sa,4
Samsun,4
Si̇vas,4
Edi̇rne,3
Isparta,3
Kirklareli̇,3
Bi̇leci̇k,2
Bolu,2
Kütahya,2
Kahramanmaraş,2
Şanliurfa,2
Zonguldak,2
Çorum,1
Elaziğ,1
Erzurum,1
Gi̇resun,1
Kastamonu,1
Malatya,1
Mardi̇n,1
Nevşehi̇r,1
Ni̇ğde,1
Ordu,1
Ri̇ze,1
Si̇i̇rt,1
Tokat,1
Uşak,1
Yozgat,1
Aksaray,1
Karaman,1
Kirikkale,1
Batman,1
Osmani̇ye,1
Düzce,1
