İl,Evlenme Sayısı,Akraba Evliliği Sayısı,Akraba Evliliği Oranı
Province,Number of marriages,Number of marriages between first cousins,Proportion of marriages between first cousins (%) 
Adana, 15 836,  751,4.7
Adıyaman, 4 683,  389,8.3
Afyonkarahisar, 5 048,  93,1.8
Ağrı, 3 755,  426,11.3
Amasya, 2 093,  35,1.7
Ankara, 36 960,  649,1.8
Antalya, 18 034,  337,1.9
Artvin, 1 039,  12,1.2
Aydın, 7 777,  167,2.1
Balıkesir, 8 222,  64,0.8
Bilecik, 1 390,  26,1.9
Bingöl, 1 747,  108,6.2
Bitlis, 2 291,  248,10.8
Bolu, 1 952,  14,0.7
Burdur, 1 625,  11,0.7
Bursa, 20 976,  425,2.0
Çanakkale, 3 552,  33,0.9
Çankırı, 1 072,  18,1.7
Çorum, 3 455,  59,1.7
Denizli, 7 500,  93,1.2
Diyarbakır, 12 480, 1 465,11.7
Edirne, 2 548,  18,0.7
Elazığ, 3 965,  166,4.2
Erzincan, 1 317,  40,3.0
Erzurum, 4 593,  223,4.9
Eskişehir, 5 860,  80,1.4
Gaziantep, 16 839, 1 381,8.2
Giresun, 2 594,  41,1.6
Gümüşhane,  719,  25,3.5
Hakkari, 1 936,  159,8.2
Hatay, 12 167,  623,5.1
Isparta, 2 783,  29,1.0
Mersin, 13 195,  541,4.1
İstanbul, 105 694, 2 597,2.5
İzmir, 30 328,  599,2.0
Kars, 1 589,  92,5.8
Kastamonu, 1 997,  33,1.7
Kayseri, 10 006,  258,2.6
Kırklareli, 2 296,  23,1.0
Kırşehir, 1 631,  49,3.0
Kocaeli, 13 927,  294,2.1
Konya, 16 212,  385,2.4
Kütahya, 3 394,  29,0.9
Malatya, 5 415,  167,3.1
Manisa, 10 253,  195,1.9
Kahramanmaraş, 8 641,  426,4.9
Mardin, 6 414,  881,13.7
Muğla, 6 821,  80,1.2
Muş, 2 682,  345,12.9
Nevşehir, 2 229,  55,2.5
Niğde, 2 529,  100,4.0
Ordu, 4 736,  62,1.3
Rize, 1 931,  36,1.9
Sakarya, 7 572,  98,1.3
Samsun, 9 140,  170,1.9
Siirt, 2 098,  269,12.8
Sinop, 1 205,  19,1.6
Sivas, 3 959,  89,2.2
Tekirdağ, 7 416,  164,2.2
Tokat, 3 701,  91,2.5
Trabzon, 5 011,  84,1.7
Tunceli,  394,  9,2.3
Şanlıurfa, 17 566, 3 236,18.4
Uşak, 2 629,  31,1.2
Van, 7 909,  770,9.7
Yozgat, 2 925,  101,3.5
Zonguldak, 3 621,  35,1.0
Aksaray, 3 398,  133,3.9
Bayburt,  452,  20,4.4
Karaman, 1 795,  26,1.4
Kırıkkale, 1 937,  48,2.5
Batman, 4 481,  440,9.8
Şırnak, 3 840,  428,11.1
Bartın, 1 218,  15,1.2
Ardahan,  505,  15,3.0
Iğdır, 1 310,  82,6.3
Yalova, 1 883,  42,2.2
Karabük, 1 433,  12,0.8
Kilis, 1 195,  87,7.3
Osmaniye, 4 216,  152,3.6
Düzce, 2 821,  22,0.8
