il,toplam_ihracat_$
Adana,  3 116 869
Adıyaman,   97 263
Afyonkarahisar,   385 114
Ağrı,   43 458
Amasya,   135 462
Ankara,  12 000 891
Antalya,  2 758 353
Artvin,   60 040
Aydın,  1 199 078
Balıkesir,   934 355
Bilecik,   147 639
Bingöl,   12 878
Bitlis,   10 616
Bolu,   177 655
Burdur,   267 274
Bursa,  12 795 096
Çanakkale,   213 448
Çankırı,   307 460
Çorum,  1 886 890
Denizli,  4 450 165
Diyarbakır,   421 919
Edirne,   86 590
Elazığ,   366 888
Erzincan,   28 896
Erzurum,   25 206
Eskişehir,  1 305 282
Gaziantep,  11 194 908
Giresun,   347 753
Gümüşhane,   64 037
Hakkari,   99 275
Hatay,  4 066 974
Isparta,   274 615
Mersin,  6 159 894
İstanbul,  124 656 780
İzmir,  17 012 105
Kars,   1 894
Kastamonu,   328 571
Kayseri,  3 911 877
Kırklareli,   342 996
Kırşehir,   368 143
Kocaeli,  14 460 625
Konya,  3 299 515
Kütahya,   347 280
Malatya,   456 177
Manisa,  3 152 115
Kahramanmaraş,  1 411 665
Mardin,  1 142 828
Muğla,  1 015 048
Muş,   202 821
Nevşehir,   120 741
Niğde,   66 821
Ordu,   296 734
Rize,   233 058
Sakarya,  5 272 619
Samsun,  1 317 562
Siirt,   72 867
Sinop,   33 654
Sivas,   104 758
Tekirdağ,  3 049 697
Tokat,   44 251
Trabzon,  1 090 239
Tunceli,    216
Şanlıurfa,   313 129
Uşak,   439 654
Van,   26 196
Yozgat,   57 580
Zonguldak,   597 827
Aksaray,   214 118
Bayburt,    65
Karaman,   310 426
Kırıkkale,   12 793
Batman,   219 891
Şırnak,   833 140
Bartın,   32 825
Ardahan,   4 524
Iğdır,   110 350
Yalova,   579 778
Karabük,   328 600
Kilis,   122 152
Osmaniye,   375 065
Düzce,   353 155
